,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__max_depth,param_DT__min_samples_split,param_features__pca__n_components,param_features__univ_select__k,param_features__univ_select__score_func,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,0.051000039,0.001999935,0.855172414,0.989654926,5,2,2,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",1,0.816326531,0.989583333,0.895833333,1,0.854166667,0.979381443,0.000816437,1.12E-07,0.0325204,0.008417643
207,0.053999901,0.002333323,0.855172414,0.975837629,20,4,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",1,0.87755102,0.96875,0.8125,0.989690722,0.875,0.969072165,0.003558947,0.000471427,0.030036135,0.009796499
99,0.051999966,0.002000014,0.848275862,1,10,2,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.816326531,1,0.833333333,1,0.895833333,1,0.001414167,1.12E-07,0.034169643,0
117,0.051666657,0.002000014,0.848275862,0.982746277,10,4,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.836734694,0.979166667,0.8125,0.989690722,0.895833333,0.979381443,0.000942797,1.12E-07,0.034891432,0.004911247
189,0.051000039,0.002000014,0.848275862,1,20,2,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.816326531,1,0.833333333,1,0.895833333,1,0.000816535,1.12E-07,0.034169643,0
219,0.052666585,0.002000014,0.848275862,0.962127721,20,6,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.857142857,0.979166667,0.833333333,0.958762887,0.854166667,0.948453608,0.001699581,1.12E-07,0.010581582,0.012762303
279,0.071999868,0.003000021,0.848275862,1,40,2,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.816326531,1,0.833333333,1,0.895833333,1,0.003558991,0,0.034169643,0
297,0.066999992,0.002666632,0.848275862,0.979309851,40,4,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.836734694,0.979166667,0.8125,0.989690722,0.895833333,0.969072165,0.007788806,0.000471483,0.034891432,0.008418099
303,0.075333357,0.003000021,0.848275862,0.982782073,40,4,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",3,0.857142857,0.989583333,0.8125,0.989690722,0.875,0.969072165,0.001699737,0,0.026204628,0.009694468
21,0.053333282,0.002333403,0.84137931,0.975873425,5,4,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",10,0.816326531,0.979166667,0.833333333,0.969072165,0.875,0.979381443,0.001699737,0.00047137,0.024651879,0.004810016
26,0.00333333,0.001666625,0.84137931,0.962020332,5,4,2,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",10,0.836734694,0.947916667,0.8125,0.958762887,0.875,0.979381443,0.000471539,0.000471427,0.025642985,0.013050319
35,0.060666641,0.002333403,0.84137931,0.979274055,5,4,3,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",10,0.795918367,0.96875,0.875,0.979381443,0.854166667,0.989690722,0.008178595,0.00047137,0.033566588,0.008549351
111,0.053333362,0.002000014,0.84137931,0.975873425,10,4,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",10,0.816326531,0.979166667,0.833333333,0.969072165,0.875,0.979381443,0.00262459,1.12E-07,0.024651879,0.004810016
135,0.051666657,0.002000093,0.84137931,0.962020332,10,6,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 6, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",10,0.816326531,0.947916667,0.833333333,0.989690722,0.875,0.948453608,0.001699628,0,0.024651879,0.019567148
177,0.052666664,0.001999935,0.84137931,0.941401775,10,10,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 10, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",10,0.87755102,0.947916667,0.833333333,0.93814433,0.8125,0.93814433,0.00235702,1.12E-07,0.027196773,0.004606724
185,0.051000039,0.001999935,0.84137931,1,20,2,1,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",10,0.816326531,1,0.833333333,1,0.875,1,1.12E-07,1.12E-07,0.024651879,0
201,0.055999994,0.002000093,0.84137931,0.975873425,20,4,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",10,0.816326531,0.979166667,0.833333333,0.969072165,0.875,0.979381443,0.000816437,0,0.024651879,0.004810016
281,0.066666603,0.002333403,0.84137931,1,40,2,2,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",10,0.816326531,1,0.854166667,1,0.854166667,1,0.004642785,0.00047137,0.01789857,0
305,0.066666683,0.003000021,0.84137931,0.989690722,40,4,3,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",10,0.795918367,1,0.875,0.979381443,0.854166667,0.989690722,0.005312363,0,0.033566588,0.008417491
13,0.052666664,0.002333244,0.834482759,0.989654926,5,2,3,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",20,0.755102041,0.989583333,0.833333333,1,0.916666667,0.979381443,0.002054656,0.000471483,0.066073542,0.008417643
22,0.00333341,0.001999935,0.834482759,0.965456758,5,4,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",20,0.795918367,0.947916667,0.833333333,0.969072165,0.875,0.979381443,0.000471483,0.000816535,0.032348945,0.013097364
38,0.003666719,0.001333237,0.834482759,0.951675258,5,6,1,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",20,0.857142857,0.9375,0.833333333,0.969072165,0.8125,0.948453608,0.000471427,0.00047137,0.018273693,0.013089046
39,0.053333441,0.002333244,0.834482759,0.962127721,5,6,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.979166667,0.833333333,0.958762887,0.854166667,0.948453608,0.001699659,0.000471483,0.015495071,0.012762303
45,0.054333369,0.002000014,0.834482759,0.969000573,5,6,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 6, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.979166667,0.8125,0.979381443,0.875,0.948453608,0.002624701,1.12E-07,0.028544875,0.014529163
93,0.051333268,0.002000014,0.834482759,1,10,2,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.836734694,1,0.8125,1,0.854166667,1,0.000471483,1.12E-07,0.017027764,0
112,0.003000021,0.002000014,0.834482759,0.972401203,10,4,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",20,0.795918367,0.96875,0.833333333,0.969072165,0.875,0.979381443,0,1.12E-07,0.032348945,0.004937527
119,0.054666678,0.001999935,0.834482759,0.982746277,10,4,2,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",20,0.836734694,0.979166667,0.8125,0.989690722,0.854166667,0.979381443,0.002054836,1.12E-07,0.017027764,0.004911247
129,0.052333355,0.001999935,0.834482759,0.951711054,10,6,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.947916667,0.833333333,0.958762887,0.854166667,0.948453608,0.00124732,1.12E-07,0.015495071,0.004991215
153,0.054333369,0.001999935,0.834482759,0.941401775,10,8,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 8, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.947916667,0.833333333,0.93814433,0.854166667,0.93814433,0.004027614,1.12E-07,0.015495071,0.004606724
202,0.003333251,0.001333475,0.834482759,0.972401203,20,4,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",20,0.795918367,0.96875,0.833333333,0.969072165,0.875,0.979381443,0.000471427,0.00047137,0.032348945,0.004937527
213,0.053000053,0.001999935,0.834482759,0.979309851,20,4,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.979166667,0.8125,0.989690722,0.875,0.969072165,0.002828503,1.12E-07,0.028544875,0.008418099
225,0.053333362,0.001666705,0.834482759,0.969000573,20,6,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 6, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.979166667,0.8125,0.979381443,0.875,0.948453608,0.001247235,0.000471483,0.028544875,0.014529163
283,0.074666659,0.003000021,0.834482759,1,40,2,3,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",20,0.755102041,1,0.833333333,1,0.916666667,1,0.002624772,0,0.066073542,0
287,0.068666697,0.002666632,0.834482759,1,40,2,3,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",20,0.816326531,1,0.833333333,1,0.854166667,1,0.005557703,0.000471483,0.015495071,0
291,0.06066672,0.002999942,0.834482759,0.972401203,40,4,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.795918367,0.96875,0.833333333,0.969072165,0.875,0.979381443,0.011115483,1.12E-07,0.032348945,0.004937527
292,0.004666726,0.003000021,0.834482759,0.972401203,40,4,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",20,0.795918367,0.96875,0.833333333,0.969072165,0.875,0.979381443,0.000471314,0,0.032348945,0.004937527
309,0.076333364,0.002666712,0.834482759,0.962127721,40,6,1,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.979166667,0.833333333,0.958762887,0.854166667,0.948453608,0.000471483,0.00047137,0.015495071,0.012762303
351,0.075333277,0.003000021,0.834482759,0.941401775,40,10,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 10, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",20,0.816326531,0.947916667,0.833333333,0.93814433,0.854166667,0.93814433,0.000942853,0,0.015495071,0.004606724
15,0.053666671,0.002000014,0.827586207,0.989654926,5,2,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",39,0.775510204,0.989583333,0.833333333,1,0.875,0.979381443,0.003091094,1.12E-07,0.040884721,0.008417643
18,0.003000021,0.001666546,0.827586207,0.979345647,5,4,1,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",39,0.795918367,0.989583333,0.833333333,0.969072165,0.854166667,0.979381443,0,0.00047137,0.024160122,0.008373688
20,0.002999942,0.002000093,0.827586207,0.965456758,5,4,1,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",39,0.836734694,0.947916667,0.833333333,0.969072165,0.8125,0.979381443,1.12E-07,0,0.010703192,0.013097364
27,0.051666657,0.001999935,0.827586207,0.982746277,5,4,2,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",39,0.775510204,0.979166667,0.8125,0.989690722,0.895833333,0.979381443,0.000942797,1.12E-07,0.05033517,0.004911247
28,0.003000021,0.002000093,0.827586207,0.968893184,5,4,2,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",39,0.816326531,0.947916667,0.8125,0.979381443,0.854166667,0.979381443,0,0,0.018763451,0.014832638
